fips,state,year,sex,sex_cat,age,age_cat,hf_ageadjusted,hf_count,hf_rate,hf_ll,hf_ul,hf_attrib,stroke_ageadjusted,stroke_count,stroke_rate,stroke_ll,stroke_ul,mi_ageadjusted,mi_count,mi_rate,mi_ll,mi_ul,mi_attrib,lea_ageadjusted,lea_count,lea_rate,lea_ll,lea_ul,lea_attrib,hypogl_ageadjusted,hypogl_count,hypogl_rate,hypogl_ll,hypogl_ul,hhns_ageadjusted,hhns_count,hhns_rate,hhns_ll,hhns_ul,dka_ageadjusted,dka_count,dka_rate,dka_ll,dka_ul
51,VIRGINIA,2014,2,Females,2,45-64,,1271,8.364485386,7.052748445426984,9.67622232589355,780,,1100,7.239129759,6.103873556,8.374385963,,869,5.71891251,4.822060109,6.61576491,430,,428,2.816679579120845,2.374961711,3.258397447,390,,236,1.553122385,1.309558327,1.796686443,,160,1.052964329,0.887836154,1.218092504,,683,4.494841478,3.789950581,5.199732375
51,VIRGINIA,2014,2,Females,3,65-74,,1477,19.91915462,15.96653121838489,23.87177801975736,870,,946,12.75796904,10.22636326,15.28957482,,716,9.656137243,7.740038153,11.57223633,310,,247,3.331097624177771,2.670096961,3.992098288,190,,207,2.791648616,2.237692595,3.345604638,,,,,,,,,,
51,VIRGINIA,2014,2,Females,4,75+,,2417,50.79218665,39.11378902771827,62.47058427926267,830,,1328,27.90733301,21.49073721,34.32392881,,808,16.97976285,13.07568951,20.8838362,190,,231,4.854362894892965,3.738223114,5.970502676,160,,321,6.745673114,5.194673677,8.29667255,,,,,,,,,,
51,VIRGINIA,2014,2,Females,6,65+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,0.94466876,0.802692684,1.086644836,,251,2.06184225,1.751964031,2.371720469
56,WYOMING,2014,0,Overall,0,18+,6.6,384,9.945134215,8.95534973529084,10.93491869538248,160,4,204,5.283352552,4.757529547,5.809175557,4.6,227,5.879024653,5.293917682,6.464131625,30,3.4,118,3.056056868254494,2.751904346,3.360209391,70,2.5,79,2.046004175,1.842376638,2.249631711,2.3,66,1.709319943,1.539200736,1.879439151,11.9,227,5.879024653,5.293917682,6.464131625
56,WYOMING,2014,0,Overall,1,18-44,,22,3.146040542,2.068625744401555,4.223455339601191,0,,22,3.146040542,2.068625744,4.22345534,,22,3.146040542,2.068625744,4.22345534,0,,27,3.861049756092593,2.538767959,5.183331553,20,,22,3.146040542,2.068625744,4.22345534,,22,3.146040542,2.068625744,4.22345534,,138,19.73425431,12.97592512,26.49258349
56,WYOMING,2014,0,Overall,2,45-64,,87,5.562994175,4.681884039278626,6.444104310634567,60,,36,2.301928624,1.937331327,2.666525922,,77,4.923569557,4.143736449,5.703402666,10,,43,2.749525856587744,2.31403464,3.185017073,40,,22,1.406734159,1.1839247,1.629543619,,22,1.406734159,1.1839247,1.629543619,,61,3.900490169,3.282700303,4.518280034
56,WYOMING,2014,0,Overall,3,65-74,,98,9.743305054,8.31136062459216,11.17524948287793,40,,66,6.561817689,5.597446951,7.526188427,,55,5.468181408,4.664539126,6.271823689,0,,26,2.584958483643991,2.20505486,2.964862108,10,,22,2.187272563,1.86581565,2.508729476,,,,,,,,,,
56,WYOMING,2014,0,Overall,4,75+,,177,29.89015936,25.1580686938386,34.62225002757045,60,,80,13.50967655,11.37087851,15.64847459,,73,12.32757985,10.37592664,14.27923306,20,,22,3.715161050483049,3.126991589,4.303330512,0,,13,2.195322439,1.847767757,2.542877121,,,,,,,,,,
56,WYOMING,2014,0,Overall,6,65+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,1.376732102,1.226497116,1.526967087,,28,1.752204493,1.560996329,1.943412657
56,WYOMING,2014,1,Males,0,18+,7.5,218,11.22101638,9.570958229824816,12.87107453815714,80,4.2,97,4.992837565,4.258637377,5.727037753,5.8,143,7.360574967,6.278197371,8.442952564,20,4.7,74,3.808968864290515,3.248857381,4.369080348,60,2.9,44,2.264792298,1.931753037,2.597831558,2.7,33,1.698594223,1.448814778,1.948373669,12.2,98,5.044310118,4.302540856,5.78607938
56,WYOMING,2014,1,Males,1,18-44,,11,3.868988419,1.733627938633534,6.004348899036722,0,,11,3.868988419,1.733627939,6.004348899,,11,3.868988419,1.733627939,6.004348899,0,,16,5.62761951830564,2.521640638,8.733598399,15,,11,3.868988419,1.733627939,6.004348899,,11,3.868988419,1.733627939,6.004348899,,59,20.75184697,9.298549853,32.20514409
